perturbation,severity,time_s,value,window_start_s,window_stop_s
hf_burst,1.6,2.2,-0.06245361641049385,1.0,1.496
hf_burst,1.6,2.208,-0.065997414290905,1.0,1.496
hf_burst,1.6,2.216,-0.06344030797481537,1.0,1.496
hf_burst,1.6,2.224,-0.0407695472240448,1.0,1.496
hf_burst,1.6,2.232,-0.059966444969177246,1.0,1.496
hf_burst,1.6,2.24,-0.060418933629989624,1.0,1.496
hf_burst,1.6,2.248,-0.05685165897011757,1.0,1.496
hf_burst,1.6,2.256,-0.058850549161434174,1.0,1.496
hf_burst,1.6,2.264,-0.04777681827545166,1.0,1.496
hf_burst,1.6,2.272,-0.05300961062312126,1.0,1.496
hf_burst,1.6,2.28,-0.04758085682988167,1.0,1.496
hf_burst,1.6,2.288,-0.04485199600458145,1.0,1.496
hf_burst,1.6,2.296,-0.04275767505168915,1.0,1.496
hf_burst,1.6,2.304,-0.057737745344638824,1.0,1.496
hf_burst,1.6,2.312,-0.06439955532550812,1.0,1.496
hf_burst,1.6,2.32,-0.04700925946235657,1.0,1.496
hf_burst,1.6,2.328,-0.05197823792695999,1.0,1.496
hf_burst,1.6,2.336,-0.05969139561057091,1.0,1.496
hf_burst,1.6,2.344,-0.06317297369241714,1.0,1.496
hf_burst,1.6,2.352,-0.06451722234487534,1.0,1.496
hf_burst,1.6,2.36,-0.0748123750090599,1.0,1.496
hf_burst,1.6,2.368,-0.07497160881757736,1.0,1.496
hf_burst,1.6,2.376,-0.03554043918848038,1.0,1.496
hf_burst,1.6,2.384,0.009211471304297447,1.0,1.496
hf_burst,1.6,2.392,0.012161191552877426,1.0,1.496
hf_burst,1.6,2.4,0.03818001225590706,1.0,1.496
hf_burst,1.6,2.408,0.06228867173194885,1.0,1.496
hf_burst,1.6,2.416,0.08230911940336227,1.0,1.496
hf_burst,1.6,2.424,0.0851304903626442,1.0,1.496
hf_burst,1.6,2.432,0.08318474143743515,1.0,1.496
hf_burst,1.6,2.44,0.062091607600450516,1.0,1.496
hf_burst,1.6,2.448,0.001040373113937676,1.0,1.496
hf_burst,1.6,2.456,-0.04832887277007103,1.0,1.496
hf_burst,1.6,2.464,-0.06627554446458817,1.0,1.496
hf_burst,1.6,2.472,-0.09267625212669373,1.0,1.496
hf_burst,1.6,2.48,-0.09350770711898804,1.0,1.496
hf_burst,1.6,2.488,-0.0930737629532814,1.0,1.496
hf_burst,1.6,2.496,-0.09384387731552124,1.0,1.496
hf_burst,1.6,2.504,-0.09094825387001038,1.0,1.496
hf_burst,1.6,2.512,-0.08769797533750534,1.0,1.496
hf_burst,1.6,2.52,-0.09053501486778259,1.0,1.496
hf_burst,1.6,2.528,-0.08889730274677277,1.0,1.496
hf_burst,1.6,2.536,-0.11946945637464523,1.0,1.496
hf_burst,1.6,2.544,-0.10945834964513779,1.0,1.496
hf_burst,1.6,2.552,0.25856107473373413,1.0,1.496
hf_burst,1.6,2.56,1.1625455617904663,1.0,1.496
