pair_id,trace,time_s,value
17,transplanted,1.48,-0.08270818165043681
17,transplanted,1.488,-0.10630924635610157
17,transplanted,1.496,-0.13178181913662051
17,transplanted,1.504,-0.09228265263539062
17,transplanted,1.512,-0.1174605737894924
17,transplanted,1.52,-0.11799782082487342
17,transplanted,1.528,-0.11718687078047546
17,transplanted,1.536,-0.10886835029665054
17,transplanted,1.544,-0.09494290768796758
17,transplanted,1.552,-0.08537115810389985
17,transplanted,1.56,-0.09223646422438189
17,transplanted,1.568,-0.08263155056603988
17,transplanted,1.576,-0.05741180072627837
17,transplanted,1.584,-0.049106448532383364
17,transplanted,1.592,-0.03205051404824104
17,transplanted,1.6,-0.024659055570801485
17,transplanted,1.608,0.0013153089157960365
17,transplanted,1.616,0.02936127641897294
17,transplanted,1.624,0.0516927561994221
17,transplanted,1.632,0.07807199076205186
17,transplanted,1.64,0.10584812314147624
17,transplanted,1.648,0.13591514723860332
17,transplanted,1.656,0.16157967132293144
17,transplanted,1.664,0.18813870685417994
17,transplanted,1.672,0.19179839466844423
17,transplanted,1.68,0.20173134338472795
17,transplanted,1.688,0.1962318103437023
17,transplanted,1.696,0.19561038496353245
17,transplanted,1.704,0.1709541227702148
17,transplanted,1.712,0.15023790066682702
17,transplanted,1.72,0.09667482914759905
17,transplanted,1.728,0.04916238120374365
17,transplanted,1.736,0.007500440471929126
17,transplanted,1.744,-0.027100015067341058
17,transplanted,1.752,-0.04950609002270813
17,transplanted,1.76,-0.05482688803425303
17,transplanted,1.768,-0.06115366525042282
17,transplanted,1.776,-0.06354166368085178
17,transplanted,1.784,-0.07669607240977076
17,transplanted,1.792,-0.07771450013834813
17,transplanted,1.8,-0.06717171084667413
17,transplanted,1.808,-0.0804783672171045
17,transplanted,1.816,-0.06470683455494171
17,transplanted,1.824,-0.0464396538917829
17,transplanted,1.832,-0.06744191784951499
17,transplanted,1.84,-0.05929490046082618
17,transplanted,1.848,-0.041620930351522
17,transplanted,1.856,-0.04240568091434155
17,transplanted,1.864,-0.043857359776932586
17,transplanted,1.872,-0.055604221580048026
17,transplanted,1.88,-0.02964927877874146
17,transplanted,1.888,-0.032074105235015526
17,transplanted,1.896,-0.05417507482000755
17,transplanted,1.904,-0.06862086024597307
17,transplanted,1.912,-0.07117775690419124
17,transplanted,1.92,-0.06520496059572095
17,transplanted,1.928,-0.057360587663255795
17,transplanted,1.936,-0.06133051517853412
17,transplanted,1.944,-0.06428324199485373
17,transplanted,1.952,-0.07390669819575714
17,transplanted,1.96,-0.06993136900819105
17,transplanted,1.968,-0.07579519274767862
17,transplanted,1.976,-0.07836889765519829
17,transplanted,1.984,-0.0425300222006709
17,transplanted,1.992,0.0382195545504573
17,transplanted,2.0,0.04435271643242725
17,transplanted,2.008,0.0465583124543476
17,transplanted,2.016,0.116930071989557
17,transplanted,2.024,0.16994091163124528
17,transplanted,2.032,0.1926659388834103
17,transplanted,2.04,0.21345250611499214
17,transplanted,2.048,0.12477503444463225
17,transplanted,2.056,-0.014099279802060166
17,transplanted,2.064,-0.07487473545100042
17,transplanted,2.072,-0.09534465363691207
17,transplanted,2.08,-0.10893759863859327
17,transplanted,2.088,-0.10569770576202175
17,transplanted,2.096,-0.11696153604514174
17,transplanted,2.104,-0.1260444205773398
17,transplanted,2.112,-0.10487946208905252
17,transplanted,2.12,-0.09999984634710114
17,transplanted,2.128,-0.10600558737259545
17,transplanted,2.136,-0.1451510265979465
17,transplanted,2.144,-0.011291159111791555
17,transplanted,2.152,0.5543196615809265
17,transplanted,2.16,1.0166582798906614
17,transplanted,2.168,1.0388956211361768
17,transplanted,2.176,0.5400999375111862
17,transplanted,2.184,0.035778353418196726
17,transplanted,2.192,0.08520156752978948
17,transplanted,2.2,0.06326202774370661
17,transplanted,2.208,0.07743913824012608
17,transplanted,2.216,0.06943172803140217
17,transplanted,2.224,0.0686661780828948
17,transplanted,2.232,0.16665447388813337
17,transplanted,2.24,0.2654428889735381
17,transplanted,2.248,0.19426035076678252
17,transplanted,2.256,0.1745099175068228
17,transplanted,2.264,0.003753003759509417
17,transplanted,2.272,0.12169096061980297
17,transplanted,2.28,-0.022616675052905714
17,transplanted,2.288,0.0023910437260048862
17,transplanted,2.296,0.061273396607039586
17,transplanted,2.304,0.07458198263578086
17,transplanted,2.312,0.07486594745116172
17,transplanted,2.32,0.07736860802925212
17,transplanted,2.328,0.1256080641672521
17,transplanted,2.336,0.16609444111838118
17,transplanted,2.344,0.1270853872633818
17,transplanted,2.352,0.19430294720281815
17,transplanted,2.36,0.24813604064220707
17,transplanted,2.368,0.2850539755402676
17,transplanted,2.376,0.2901343168760387
17,transplanted,2.384,0.28980837942180265
17,transplanted,2.392,0.1874716277462989
17,transplanted,2.4,0.10547143875837442
17,transplanted,2.408,0.06991326860758725
17,transplanted,2.416,0.10781714922390091
17,transplanted,2.424,0.3183644159397986
17,transplanted,2.432,0.04126757324100294
17,transplanted,2.44,0.11511527461881016
17,transplanted,2.448,0.015857966595004977
17,transplanted,2.456,-0.013340108351095623
17,transplanted,2.464,-0.057413480180225705
17,transplanted,2.472,-0.1571151960320188
17,transplanted,2.48,0.04588766879114976
17,transplanted,2.488,0.6502034027976475
17,transplanted,2.496,1.35
17,transplanted,2.504,1.35
17,transplanted,2.512,1.1164215185962394
17,transplanted,2.52,0.0984403396861772
17,transplanted,2.528,0.07315094049199983
17,transplanted,2.536,0.048827275301937964
17,transplanted,2.544,-0.012030408468737978
17,transplanted,2.552,0.00013700916753209592
17,transplanted,2.56,0.0
17,transplanted,2.568,-0.0036624554858203525
17,transplanted,2.576,0.005244579935720739
17,transplanted,2.584,-0.030634864614005868
17,transplanted,2.592,0.013812922835884688
17,transplanted,2.6,0.003960930440560465
17,transplanted,2.608,0.002810226005752591
17,transplanted,2.616,0.0008848991436647009
17,transplanted,2.624,0.1312845499601001
17,transplanted,2.632,0.16612633017863832
17,transplanted,2.64,0.08588804604449075
17,transplanted,2.648,0.08976620682510393
17,transplanted,2.656,0.17121843454695482
17,transplanted,2.664,-0.027419512329807647
17,transplanted,2.672,-0.04897755558311103
17,transplanted,2.68,0.04184165515714314
17,transplanted,2.688,0.08488212167917843
17,transplanted,2.696,0.14552208995151028
17,transplanted,2.704,0.14047531027502957
17,transplanted,2.712,0.12513297063775058
17,transplanted,2.72,0.15333059111864322
17,transplanted,2.728,0.13973695377064088
17,transplanted,2.736,0.12295033172305317
17,transplanted,2.744,0.09836571023668893
17,transplanted,2.752,0.1125938795605644
17,transplanted,2.76,0.10927575840461748
17,transplanted,2.768,0.10473644116188037
17,transplanted,2.776,0.14479600374330823
17,transplanted,2.784,0.15096457639763916
17,transplanted,2.792,0.1244898014701483
17,transplanted,2.8,0.11088039781978325
17,transplanted,2.808,0.05664572980430162
17,transplanted,2.816,0.10118506784484803
17,transplanted,2.824,0.08387942597839343
17,transplanted,2.832,0.22768849004090827
17,transplanted,2.84,0.2624331155623217
17,transplanted,2.848,0.1650557434088966
17,transplanted,2.856,0.2684315492494166
17,transplanted,2.864,0.08474801214029826
17,transplanted,2.872,-0.004837706511051327
17,transplanted,2.88,0.04356168848204741
17,transplanted,2.888,0.11129852015844276
17,transplanted,2.896,0.10300539027633589
17,transplanted,2.904,0.09322498396286859
17,transplanted,2.912,0.10862442503435694
17,transplanted,2.92,0.10230252851700553
17,transplanted,2.928,0.14839423039801417
17,transplanted,2.936,0.12402555241470671
17,transplanted,2.944,0.10334557224201098
17,transplanted,2.952,0.10648246317975538
17,transplanted,2.96,0.06459393754765348
17,transplanted,2.968,0.0488479257305761
17,transplanted,2.976,0.09238591506095241
17,transplanted,2.984,0.12160663832181867
17,transplanted,2.992,0.12070597116206272
17,transplanted,3.0,0.17322218076914783
17,transplanted,3.008,0.15582715082321064
17,transplanted,3.016,0.22747875708999957
17,transplanted,3.024,0.3280451449477631
17,transplanted,3.032,0.15833824294560808
17,transplanted,3.04,0.21041399690399115
17,transplanted,3.048,0.17133422775543794
17,transplanted,3.056,0.061321877986804975
17,transplanted,3.064,0.04488520787117169
17,transplanted,3.072,0.07900779621133447
17,transplanted,3.08,0.10548131668955037
17,transplanted,3.088,0.15591433162036245
17,transplanted,3.096,0.1830044721839846
17,transplanted,3.104,0.16728374129000015
17,transplanted,3.112,0.2036765897702412
17,transplanted,3.12,0.20656049324929046
17,transplanted,3.128,0.19158060033858834
17,transplanted,3.136,0.20400487160508946
17,transplanted,3.144,0.16945337643270533
17,transplanted,3.152,0.12121121260364741
17,transplanted,3.16,0.08033644307618366
17,transplanted,3.168,0.025207353584528816
17,transplanted,3.176,0.02137977007365815
17,transplanted,3.184,-0.012637664741523578
17,transplanted,3.192,-0.02349334315849996
17,transplanted,3.2,-0.010325762712194028
17,transplanted,3.208,-0.07681656123439234
17,transplanted,3.216,-0.06039884324243617
17,transplanted,3.224,-0.03852675581080948
17,transplanted,3.232,-0.04613954575376543
17,transplanted,3.24,-0.03470961747525411
17,transplanted,3.248,-0.012170406378804921
17,transplanted,3.256,-0.053862847193912995
17,transplanted,3.264,-0.02767867949353756
17,transplanted,3.272,-0.03592125781182967
17,transplanted,3.28,-0.03432531385516265
17,transplanted,3.288,-0.027691230841201103
17,transplanted,3.296,-0.018730607128911916
17,transplanted,3.304,-0.025275151255281316
17,transplanted,3.312,-0.002013337960706518
17,transplanted,3.32,-0.00283869360702416
17,transplanted,3.328,-0.016837108489718783
17,transplanted,3.336,-0.021816298713461885
17,transplanted,3.344,-0.05515388800017006
17,transplanted,3.352,-0.04469565407355877
17,transplanted,3.36,-0.01722045927675441
17,transplanted,3.368,-0.06776278952225276
17,transplanted,3.376,-0.03765645249292992
17,transplanted,3.384,0.022669493451117236
17,transplanted,3.392,0.06801635279372983
17,transplanted,3.4,0.03570653276974895
17,transplanted,3.408,0.07493216592108516
17,transplanted,3.416,0.1764521751498012
17,transplanted,3.424,0.1859802589312382
17,transplanted,3.432,0.2077314770905124
17,transplanted,3.44,0.18855676064369875
17,transplanted,3.448,0.043830565631558537
17,transplanted,3.456,-0.05605200513189168
17,transplanted,3.464,-0.08250218462769668
17,transplanted,3.472,-0.09950381105511347
17,transplanted,3.48,-0.1161514497199167
17,transplanted,3.488,-0.10222905069308115
17,transplanted,3.496,-0.10934552086511551
17,transplanted,3.504,-0.09389634739204385
17,transplanted,3.512,-0.08845480692405674
17,transplanted,3.52,-0.09917610503304716
17,transplanted,3.528,-0.14993372756476558
17,transplanted,3.536,-0.1705364460009699
17,transplanted,3.544,0.3624473263818581
17,transplanted,3.552,1.3063795230722537
17,transplanted,3.56,1.35
17,transplanted,3.568,1.35
17,transplanted,3.576,0.14293385262616062
17,transplanted,3.584,-0.060392440752694086
17,transplanted,3.592,0.029531681014129216
17,transplanted,3.6,-0.019335388777717975
17,transplanted,3.608,-0.05800161809766798
17,transplanted,3.616,-0.07829979326645105
17,transplanted,3.624,-0.07168414997133982
17,transplanted,3.632,-0.06525487807998416
17,transplanted,3.64,-0.05415835568458899
17,transplanted,3.648,-0.04540367758318441
17,transplanted,3.656,-0.04521692915915494
17,transplanted,3.664,-0.0923612853546962
17,transplanted,3.672,-0.025932242753361274
17,transplanted,3.68,-0.041572548368010644
17,transplanted,3.688,-0.032282899062696525
17,transplanted,3.696,-0.015630472240414875
17,transplanted,3.704,0.006714231526141024
17,transplanted,3.712,0.022461143479122318
17,transplanted,3.72,0.047739808306297024
17,transplanted,3.728,0.06054015386854766
17,transplanted,3.736,0.09060533056633267
17,transplanted,3.744,0.1142368996396123
17,transplanted,3.752,0.14873253411723386
17,transplanted,3.76,0.1408801203705637
17,transplanted,3.768,0.15697955784730083
17,transplanted,3.776,0.2092306467977856
17,transplanted,3.784,0.23549737508322915
17,transplanted,3.792,0.23016395031996592
17,transplanted,3.8,0.22317160893192473
17,transplanted,3.808,0.2076034684251552
17,transplanted,3.816,0.2158804207100551
17,transplanted,3.824,0.1957696931665367
17,transplanted,3.832,0.17726500344065452
17,transplanted,3.84,0.14067295115751746
17,transplanted,3.848,0.05272606937390411
17,transplanted,3.856,0.05596026238942579
17,transplanted,3.864,-0.009326492754715886
17,transplanted,3.872,-0.019780505767988107
17,transplanted,3.88,-0.028383491475921046
17,transplanted,3.888,-0.04086062441227875
17,transplanted,3.896,-0.040113976889321466
17,transplanted,3.904,-0.017739311150226575
17,transplanted,3.912,-0.027334202924197155
17,transplanted,3.92,-0.048739703774684125
17,transplanted,3.928,-0.02450111492315435
17,transplanted,3.936,-0.04769765401221894
17,transplanted,3.944,-0.039675125290512
17,transplanted,3.952,-0.01734121544302476
17,transplanted,3.96,-0.038642110304792074
17,transplanted,3.968,-0.015460031656959727
17,transplanted,3.976,-0.017970595950973705
17,transplanted,3.984,-0.029392843298268745
17,transplanted,3.992,-0.015806999987564848
17,transplanted,4.0,0.021058702607437228
17,transplanted,4.008,-0.02396050212496459
17,transplanted,4.016,-0.04114377349288518
17,transplanted,4.024,-0.022733907793343694
17,transplanted,4.032,-0.04922027438052818
17,transplanted,4.04,-0.01517432226594787
17,transplanted,4.048,-0.0540110093066382
17,transplanted,4.056,-0.03051298424182792
17,transplanted,4.064,0.05318861841065616
17,transplanted,4.072,0.05278264640718705
17,transplanted,4.08,0.03773120361714294
17,transplanted,4.088,0.06932208368084052
17,transplanted,4.096,0.14911133666878354
17,transplanted,4.104,0.19288192351595151
17,transplanted,4.112,0.21178766684445705
17,transplanted,4.12,0.17069417071882378
17,transplanted,4.128,0.05811134470719849
17,transplanted,4.136,-0.008053668882601844
17,transplanted,4.144,-0.10646427709272567
17,transplanted,4.152,-0.07909651250923813
17,transplanted,4.16,-0.12026715383782362
17,transplanted,4.168,-0.07101075063268554
17,transplanted,4.176,-0.10473816860022621
17,transplanted,4.184,-0.13361947079087924
17,transplanted,4.192,-0.10673033001763965
17,transplanted,4.2,-0.09783231566301567
17,transplanted,4.208,-0.14283557372312827
17,transplanted,4.216,-0.13831943294486437
17,transplanted,4.224,0.46136011702816254
17,transplanted,4.232,1.337364392743798
17,transplanted,4.24,1.35
17,transplanted,4.248,1.35
17,transplanted,4.256,0.20299196208233902
17,transplanted,4.264,-0.0645599131816633
17,transplanted,4.272,0.02173872079405894
17,transplanted,4.28,-0.02149257539647068
17,transplanted,4.288,-0.04302731879684758
17,transplanted,4.296,-0.08218033955716085
17,transplanted,4.304,-0.04535596738125198
17,transplanted,4.312,-0.0872408427716112
17,transplanted,4.32,-0.052337354616608114
17,transplanted,4.328,-0.06187180661321688
17,transplanted,4.336,-0.07442073449209459
17,transplanted,4.344,-0.052680168869286365
17,transplanted,4.352,-0.02957462533705395
17,transplanted,4.36,-0.0061585284914887645
17,transplanted,4.368,-0.000504091529749318
17,transplanted,4.376,-0.015717985500899114
17,transplanted,4.384,0.010989874927578823
17,transplanted,4.392,0.047858381182435836
17,transplanted,4.4,0.053206951878338384
17,transplanted,4.408,0.07906612467516248
17,transplanted,4.416,0.09246727603605814
17,transplanted,4.424,0.11783459846593478
17,transplanted,4.432,0.1387804190612083
17,transplanted,4.44,0.15701475097614007
17,transplanted,4.448,0.18926646360727173
17,transplanted,4.456,0.23224042718044963
17,transplanted,4.464,0.21583489037079717
17,transplanted,4.472,0.2499358394609671
17,transplanted,4.48,0.24281886202529152
17,transplanted,4.488,0.2500895814737459
17,transplanted,4.496,0.2363005927845553
17,transplanted,4.504,0.22070122128927944
17,transplanted,4.512,0.20441952535722915
17,transplanted,4.52,0.14057854528093508
17,transplanted,4.528,0.0974455202816595
17,transplanted,4.536,0.06845746994163968
17,transplanted,4.544,0.05090002994408123
17,transplanted,4.552,0.015469484155031164
17,transplanted,4.56,-0.001564685548504397
17,transplanted,4.568,0.012223701621976491
17,transplanted,4.576,-0.00798457648995423
17,transplanted,4.584,0.01298303973303938
17,transplanted,4.592,-0.0019112305881656497
17,transplanted,4.6,0.004403291755374155
17,transplanted,4.608,0.010577073287534598
17,transplanted,4.616,0.003825053190714302
17,transplanted,4.624,0.02337819388350736
17,transplanted,4.632,0.01205336771812157
17,transplanted,4.64,0.02800756456082404
17,transplanted,4.648,0.03670239926239097
17,transplanted,4.656,0.03580799749409569
17,transplanted,4.664,0.043489818135472626
17,transplanted,4.672,0.038610718225805064
17,transplanted,4.68,0.03938963011556486
17,transplanted,4.688,0.03619716810317739
17,transplanted,4.696,0.0251827281625939
17,transplanted,4.704,0.04919050348871891
17,transplanted,4.712,0.021074944041031482
17,transplanted,4.72,-0.0059886534384444535
17,transplanted,4.728,0.0025539618981316437
17,transplanted,4.736,0.0013101831537996327
17,transplanted,4.744,0.0012001840614348125
17,transplanted,4.752,0.0748236937608296
17,transplanted,4.76,0.11456390646044338
17,transplanted,4.768,0.11011262687911694
17,transplanted,4.776,0.16048697060039746
17,transplanted,4.784,0.20763882607193213
17,transplanted,4.792,0.24314190670578972
17,transplanted,4.8,0.28844197569025176
17,transplanted,4.808,0.19179363735807914
17,transplanted,4.816,0.06829816859354951
17,transplanted,4.824,0.008766289468976177
17,transplanted,4.832,-0.07725571444942092
17,transplanted,4.84,-0.06729344041074253
17,transplanted,4.848,-0.07511639173673659
17,transplanted,4.856,-0.07993100918346911
17,transplanted,4.864,-0.08244138839480318
17,transplanted,4.872,-0.07129863645891486
17,transplanted,4.88,-0.06187560423561208
17,transplanted,4.888,-0.07211280145801201
17,transplanted,4.896,-0.11862152203651476
17,transplanted,4.904,-0.09843602109031262
17,transplanted,4.912,0.441169735383142
17,transplanted,4.92,1.32662356498462
17,transplanted,4.928,1.35
17,transplanted,4.936,1.35
17,transplanted,4.944,0.2484902477620709
17,transplanted,4.952,-0.009893868851166374
17,transplanted,4.96,0.06304128237334325
17,transplanted,4.968,-0.03256742940848821
17,transplanted,4.976,-0.04162236988347686
17,transplanted,4.984,-0.05059085275474816
17,transplanted,4.992,-0.05349179755017733
17,transplanted,5.0,-0.06564667069369792
17,transplanted,5.008,-0.0722710677140775
17,transplanted,5.016,-0.058917414052778075
17,transplanted,5.024,-0.06441253938405624
17,transplanted,5.032,-0.038576262000228435
17,transplanted,5.04,-0.045161712826315044
17,transplanted,5.048,-0.03404389221290205
17,transplanted,5.056,-0.008001777183086261
17,transplanted,5.064,-0.0047075659674181225
17,transplanted,5.072,0.0248279186671561
17,transplanted,5.08,0.005038868248778802
17,transplanted,5.088,0.02544177793592035
17,transplanted,5.096,0.048197000227702784
17,transplanted,5.104,0.07393081378345803
17,transplanted,5.112,0.09047459364517532
39,good,2.072,-0.02532824335238531
39,good,2.08,-0.03262635185726435
39,good,2.088,-0.018172191920115377
39,good,2.096,-0.020308331075815266
39,good,2.104,-0.022863806712879457
39,good,2.112,-0.012917684626388953
39,good,2.12,0.002074552638489931
39,good,2.128,-0.012466707856298324
39,good,2.136,-0.021755227852129393
39,good,2.144,-0.008621890934684889
39,good,2.152,-0.01747703072052685
39,good,2.16,-0.014907376084012026
39,good,2.168,-0.01868870557733673
39,good,2.176,-0.03113106083659792
39,good,2.184,-0.03413486439853456
39,good,2.192,-0.026632896024450636
39,good,2.2,-0.03813298203452915
39,good,2.208,-0.050850847213904954
39,good,2.216,-0.04306486013461649
39,good,2.224,-0.03912863996555382
39,good,2.232,-0.053278493267495036
39,good,2.24,-0.05312128817142551
39,good,2.248,-0.06273936330414594
39,good,2.256,-0.06598777192435042
39,good,2.264,-0.06696454812621848
39,good,2.272,-0.07605104085504269
39,good,2.28,-0.07099275707491104
39,good,2.288,-0.07136156807484353
39,good,2.296,-0.07364184551119261
39,good,2.304,-0.08522166241656431
39,good,2.312,-0.07670974935715094
39,good,2.32,-0.07157388823945399
39,good,2.328,-0.08159039772086688
39,good,2.336,-0.08722234371479405
39,good,2.344,-0.0832560784136852
39,good,2.352,-0.06854116789272957
39,good,2.36,-0.009952802117770065
39,good,2.368,0.0034512378911971983
39,good,2.376,-0.012548219785395047
39,good,2.384,0.044653828607412786
39,good,2.392,0.07999728530425111
39,good,2.4,0.09727078865626587
39,good,2.408,0.12158693376559386
39,good,2.416,0.08001556052751436
39,good,2.424,-0.00730499509836561
39,good,2.432,-0.07458722502727248
39,good,2.44,-0.10080279881645382
39,good,2.448,-0.1076499855831856
39,good,2.456,-0.10597295060745035
39,good,2.464,-0.11394363874287644
39,good,2.472,-0.11641990686536759
39,good,2.48,-0.09546557158474794
