pair_id,direction,control,recipient_class,window_start_s,window_stop_s,accepted,sqi_distance,delta_iSQI,delta_bSQI,delta_pSQI,delta_basSQI,qrs_same,delta_conformer_medium_logit,delta_conformer_bad_logit,delta_mlp_gm_margin,clean_mlp_gm_margin,cand_mlp_gm_margin,cand_conformer_pred
34,good_into_medium_top,top-local,medium,0.56,1.56,0,0.7396358209760262,6.439293542825908e-15,0.006410256410261828,0.00016750810646226633,0.006547827480748891,0,0.005816247314214706,-0.22907066345214844,-0.3992813788078875,-1.1293927393857566,-1.528674118193644,medium
34,good_into_medium_random,random,medium,6.688,7.688,0,0.4663109892123336,6.439293542825908e-15,0.006410256410261828,6.456334797677599e-05,8.328167154525445e-05,0,0.0030196327716112137,-0.17096471786499023,-0.06530698355141396,-1.1293927393857566,-1.1946997229371705,medium
34,medium_into_medium_same_class,same-class,medium,0.56,1.56,0,0.6636914200026242,6.439293542825908e-15,0.07692307692307099,0.0013127654688471768,0.0007935867184222234,0,-0.001875501126050949,-0.46499061584472656,-0.4445772868468205,-1.1293927393857566,-1.573970026232577,medium
35,medium_into_good_top,top-local,good,6.752,7.752,0,0.30255871059989625,6.439293542825908e-15,0.07051282051280916,0.005666039059071815,0.009995864898167062,0,0.10402035713195801,0.16649913787841797,-0.3253852025251234,-1.1405237511006219,-1.4659089536257452,good
35,medium_into_good_random,random,good,5.424,6.424,1,0.12299583284509762,0.0,0.0,0.0021993513530005337,0.0021802524445105886,1,0.359025239944458,0.10978221893310547,0.1366506153136442,-1.1405237511006219,-1.0038731357869777,good
35,good_into_good_same_class,same-class,good,6.752,7.752,0,0.31027110184007234,6.439293542825908e-15,0.07051282051280916,0.0064985735740760164,0.003585007898065151,0,-0.14946436882019043,0.11982154846191406,-0.24391695474197284,-1.1405237511006219,-1.3844407058425947,good
35,good_into_medium_top,top-local,medium,6.752,7.752,0,0.21699085659687162,5.551115123125783e-15,0.005494505494510138,0.0002547484448489623,0.012941059754205564,0,0.1163666844367981,-0.0528101921081543,0.03079165310008225,-1.0645071266843344,-1.0337154735842522,medium
35,good_into_medium_random,random,medium,5.424,6.424,1,0.05814929523548508,0.0,0.0,0.009714599631550858,0.002028254129510909,1,-0.04265105724334717,0.12359428405761719,-0.1768683951623684,-1.0645071266843344,-1.2413755218467029,medium
35,medium_into_medium_same_class,same-class,medium,6.752,7.752,0,0.3034009509526105,5.551115123125783e-15,0.005494505494510138,0.0009884200817011912,0.011702358665112267,0,0.02758556604385376,-0.08357095718383789,-0.07392473054395499,-1.0645071266843344,-1.1384318572282894,medium
36,medium_into_good_top,top-local,good,7.464,8.464,1,0.18124481234962375,0.0,0.0,0.0017126579218164073,0.01181866527731723,1,0.4622458219528198,0.13358402252197266,0.2438077788428964,-0.4640917644773299,-0.22028398563443352,good
